player_name,dg_id,country,am,primary_tour,datagolf_rank,owgr_rank,dg_skill_estimate,last_updated,notes
"Scheffler, Scottie",18417,USA,0,PGA,1,1,2.89279148777173,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"McIlroy, Rory",10091,NIR,0,PGA,2,3,2.17335856431399,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Schauffele, Xander",19895,USA,0,PGA,3,2,2.04288298061898,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Morikawa, Collin",22085,USA,0,PGA,4,4,1.85846327976187,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Rahm, Jon",19195,ESP,0,EURO,5,43,1.85709349212328,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hatton, Tyrrell",14796,ENG,0,EURO,6,8,1.77018440750428,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Matsuyama, Hideki",13562,JPN,0,PGA,7,5,1.61006473013596,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Thomas, Justin",14139,USA,0,PGA,8,15,1.4953377150595,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Im, Sungjae",17488,KOR,0,PGA,9,21,1.4919129750704,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Henley, Russell",14578,USA,0,PGA,10,14,1.47953669626743,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Fleetwood, Tommy",12294,ENG,0,PGA,11,11,1.44473441192552,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"DeChambeau, Bryson",19841,USA,0,LIV,12,10,1.43104616545532,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Cantlay, Patrick",15466,USA,0,PGA,13,12,1.4221844082425,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
