player_name,dg_id,country,am,primary_tour,datagolf_rank,owgr_rank,dg_skill_estimate,last_updated,notes
"Niemann, Joaquin",18079,CHI,0,LIV,14,68,1.37266310155251,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Lowry, Shane",13900,IRL,0,PGA,15,18,1.35479491518184,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Burns, Sam",19483,USA,0,PGA,16,24,1.30674903949843,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Aberg, Ludvig",23950,SWE,0,PGA,17,6,1.24381296683902,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Pendrith, Taylor",17780,CAN,0,PGA,18,38,1.18596342095613,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Straka, Sepp",17511,AUT,0,PGA,19,16,1.14789632715636,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Conners, Corey",17576,CAN,0,PGA,20,47,1.1181579197318,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kim, Tom",24766,KOR,0,PGA,21,23,1.09610651411428,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hovland, Viktor",18841,NOR,0,PGA,22,9,1.05245369818928,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Finau, Tony",11676,USA,0,PGA,23,28,1.05194657297685,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hojgaard, Rasmus",23838,DEN,0,EURO,24,41,1.03297861854295,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Day, Jason",9771,AUS,0,PGA,25,32,1.01388245073993,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Scott, Adam",6430,AUS,0,PGA,26,22,0.99755056093532,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Macintyre, Robert",23323,SCO,0,PGA,27,17,0.982294910883971,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"An, Byeong Hun",14459,KOR,0,PGA,28,26,0.966870729963005,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Bradley, Keegan",13872,USA,0,PGA,29,13,0.959454524903665,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Noren, Alex",10419,SWE,0,PGA,30,59,0.9531891150981,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Greyserman, Max",23465,USA,0,PGA,31,34,0.885756959477341,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hall, Harry",27194,ENG,0,PGA,32,86,0.829444839940336,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kim, Si Woo",14609,KOR,0,PGA,33,67,0.816251297756396,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Bhatia, Akshay",26096,USA,0,PGA,34,30,0.81156552193836,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Spaun, J.J.",17536,USA,0,PGA,35,76,0.806154824363451,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Rai, Aaron",18554,ENG,0,PGA,36,25,0.80108191505412,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"McNealy, Maverick",18634,USA,0,PGA,37,27,0.797233854129491,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Glover, Lucas",7399,USA,0,PGA,38,39,0.776361323695349,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Garcia, Sergio",5689,ESP,0,LIV,39,471,0.773079318811447,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Poston, J.T.",21554,USA,0,PGA,40,42,0.766446648277857,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"McCarthy, Denny",19870,USA,0,PGA,41,50,0.76045982143039,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Horschel, Billy",11276,USA,0,PGA,42,20,0.754547354875516,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kitayama, Kurt",21891,USA,0,PGA,43,82,0.725123285386,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Koepka, Brooks",16243,USA,0,LIV,44,134,0.712964670548768,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Thompson, Davis",27364,USA,0,PGA,45,49,0.694245506290555,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Eckroat, Austin",26653,USA,0,PGA,46,37,0.687010371471809,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Fitzpatrick, Matt",17646,ENG,0,PGA,47,53,0.686896407528204,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Theegala, Sahith",23014,USA,0,PGA,48,19,0.67720615227959,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Stevens, Samuel",25569,USA,0,PGA,49,74,0.664570827475967,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Lee, Min Woo",16841,AUS,0,PGA,50,52,0.658476618763877,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Reed, Patrick",14838,USA,0,EURO,51,114,0.657116512809049,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Zalatoris, Will",19428,USA,0,PGA,52,63,0.649079316078628,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Griffin, Ben",24968,USA,0,PGA,53,64,0.644670135458813,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Oosthuizen, Louis",7672,RSA,0,LIV,54,228,0.634614913179041,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hoge, Tom",15575,USA,0,PGA,55,65,0.630465592126413,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Davis, Cameron",17786,AUS,0,PGA,56,44,0.625279670855759,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Smith, Cameron",15856,AUS,0,LIV,57,91,0.607043967349513,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Ancer, Abraham",18238,MEX,0,LIV,58,440,0.603153573816409,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Bezuidenhout, Christiaan",18103,RSA,0,PGA,59,61,0.563893201899708,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hughes, Mackenzie",15556,CAN,0,PGA,60,62,0.560374336889867,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Detry, Thomas",14181,BEL,0,PGA,61,58,0.544938554086021,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Canter, Laurie",14795,ENG,0,EURO,62,51,0.544346718066067,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Clark, Wyndham",23604,USA,0,PGA,63,7,0.539899442497484,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hossler, Beau",15470,USA,0,PGA,64,78,0.519462468195907,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hodges, Lee",25157,USA,0,PGA,65,81,0.519196848690089,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Novak, Andrew",23475,USA,0,PGA,66,75,0.51251908099566,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kuchar, Matt",6169,USA,0,PGA,67,129,0.504639230940489,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Puig, David",28984,ESP,0,EURO,68,77,0.504164188244924,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Jaeger, Stephan",16394,GER,0,PGA,69,46,0.499562537157142,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Leishman, Marc",7649,AUS,0,LIV,70,423,0.499169145476345,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Fishburn, Patrick",25094,USA,0,PGA,71,105,0.489047336890434,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Olesen, Thorbjorn",13412,DEN,0,EURO,72,72,0.469967410000219,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Power, Seamus",10104,IRL,0,PGA,73,124,0.469701995060204,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Cole, Eric",21756,USA,0,PGA,74,56,0.464830123228136,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Fowler, Rickie",12965,USA,0,PGA,75,85,0.464030040283476,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Lower, Justin",17723,USA,0,PGA,76,79,0.461382518605829,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"English, Harris",14577,USA,0,PGA,77,35,0.446808192116122,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Smith, Jordan",18586,ENG,0,EURO,78,94,0.442075826479394,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Burmester, Dean",14424,RSA,0,LIV,79,128,0.440574540111165,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Putnam, Andrew",14704,USA,0,PGA,80,149,0.440202668538544,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Harman, Brian",8825,USA,0,PGA,81,36,0.433254334573114,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Wallace, Matt",20706,ENG,0,EURO,82,70,0.432807215042642,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Rodgers, Patrick",16283,USA,0,PGA,83,100,0.42561135674371,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Norgaard, Niklas",15676,DEN,0,EURO,84,89,0.424044464032745,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Vegas, Jhonattan",13508,VEN,0,PGA,85,60,0.410491691544976,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Mitchell, Keith",17365,USA,0,PGA,86,101,0.402048224428684,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Meissner, Mac",28159,USA,0,PGA,87,147,0.392342210371802,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Taylor, Nick",13126,CAN,0,PGA,88,29,0.389419199270692,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Casey, Paul",7108,ENG,0,LIV,89,501,0.383848586244391,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Munoz, Sebastian",20770,COL,0,LIV,90,501,0.379591982326869,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Moore, Taylor",21944,USA,0,PGA,91,80,0.367267338925134,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Ghim, Doug",24550,USA,0,PGA,92,97,0.36133588559478,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Woodland, Gary",12577,USA,0,PGA,93,182,0.358386593275684,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hoffman, Charley",5768,USA,0,PGA,94,95,0.344392738304335,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Homa, Max",17538,USA,0,PGA,95,57,0.333976644214246,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Gooch, Talor",18580,USA,0,LIV,96,501,0.324262787743133,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Tringale, Cameron",14013,USA,0,LIV,97,501,0.322695773554509,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Clanton, Luke",32330,USA,1,AM,98,90,0.322470763351632,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Bridgeman, Jacob",29433,USA,0,PGA,99,200,0.322338983196927,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Pan, C.T.",15475,TPE,0,PGA,100,116,0.320375307492495,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Young, Cameron",26651,USA,0,PGA,101,48,0.313266261865982,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Dunlap, Nick",28270,USA,0,PGA,102,31,0.308974416050782,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kanaya, Takumi",19729,JPN,0,JPN,103,152,0.306474338420359,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Mckibbin, Tom",22322,NIR,0,EURO,104,109,0.303424749226024,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Norris, Shaun",7677,RSA,0,JPN,105,102,0.299794544340685,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Perez, Victor",20730,FRA,0,PGA,106,87,0.293929249797648,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kirk, Chris",12423,USA,0,PGA,107,66,0.29377710783231,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Capan III, Frankie",21412,USA,0,KFT,108,135,0.285420183671637,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Bland, Richard",6516,ENG,0,LIV,109,501,0.279783894081682,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Berger, Daniel",17606,USA,0,PGA,110,120,0.279202564389248,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Manassero, Matteo",11460,ITA,0,EURO,111,96,0.267635159249638,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Lawrence, Thriston",18105,RSA,0,EURO,112,55,0.252432260892354,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hubbard, Mark",16333,USA,0,PGA,113,98,0.245687697746684,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Rose, Justin",6093,ENG,0,PGA,114,33,0.245673503620258,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Veerman, Johannes",20522,USA,0,EURO,115,122,0.243621287682914,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Guerrier, Julien",10201,FRA,0,EURO,116,119,0.239497627717301,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kim, Chan",15004,USA,0,PGA,117,160,0.238635330932978,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Gerard, Ryan",29767,USA,0,KFT,118,187,0.237151394615957,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Campillo, Jorge",14016,ESP,0,EURO,119,113,0.236838890288517,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Echavarria, Nicolas",22833,COL,0,PGA,120,45,0.231362110189066,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Herbert, Lucas",17064,AUS,0,LIV,121,242,0.222732702968148,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Fox, Ryan",11889,NZL,0,PGA,122,93,0.220432891679252,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Whaley, Vince",25908,USA,0,PGA,123,115,0.220362289592198,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Ortiz, Carlos",14735,MEX,0,LIV,124,364,0.21159695883376,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kim, Michael",17543,USA,0,PGA,125,162,0.207983895520297,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Smalley, Alex",18474,USA,0,PGA,126,155,0.186088699679228,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Uihlein, Peter",11357,USA,0,ASA,127,140,0.18469015606896,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Svensson, Adam",13997,CAN,0,PGA,128,143,0.182001255413858,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"McGreevy, Max",23505,USA,0,KFT,129,92,0.179468240987638,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Spieth, Jordan",14636,USA,0,PGA,130,84,0.171427880808967,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Soderberg, Sebastian",18517,SWE,0,EURO,131,121,0.158055573298172,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Campbell, Brian",18628,USA,0,KFT,132,222,0.144639256444024,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Svensson, Jesper",26850,SWE,0,EURO,133,104,0.144392258892225,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Migliozzi, Guido",17357,ITA,0,EURO,134,132,0.139342137507214,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"McCarty, Matt",28635,USA,0,KFT,135,54,0.137480037770852,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hirata, Kensei",20954,JPN,0,JPN,136,99,0.13248569004224,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Roy, Kevin",18424,USA,0,KFT,137,211,0.127539349718943,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Highsmith, Joe",28469,USA,0,PGA,138,165,0.123114285573095,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hoey, Rico",23504,PHI,0,PGA,139,123,0.111888863546088,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Neergaard-Petersen, Rasmus",23841,DEN,0,EURO,140,107,0.110548651973268,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Johnson, Dustin",12422,USA,0,LIV,141,501,0.0979246861816324,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Keefer, Johnny",32457,USA,0,PTA,142,175,0.0951281319329445,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Langasque, Romain",16652,FRA,0,EURO,143,88,0.0946036332091368,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hadwin, Adam",13965,CAN,0,PGA,144,73,0.0856245880718389,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Cauley, Bud",14502,USA,0,PGA,145,286,0.0636844640800877,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Van Rooyen, Erik",17550,RSA,0,PGA,146,83,0.0604925507067244,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Schmid, Matthias",20722,GER,0,PGA,147,112,0.0565373258174252,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hojgaard, Nicolai",23602,DEN,0,EURO,148,69,0.0481410453302705,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Cummins, Quade",27996,USA,0,KFT,149,260,0.0290895888468709,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Young, Carson",23656,USA,0,PGA,150,148,0.0285839315906288,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Nakajima, Keita",21074,JPN,0,EURO,151,130,0.0284457661088397,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Jordan, Matthew",25601,ENG,0,EURO,152,125,0.0225310768678098,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Griffin, Lanto",15330,USA,0,PGA,153,246,0.0218475381578929,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Laporta, Francesco",14987,ITA,0,EURO,154,236,0.0211363468717448,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Lahiri, Anirban",12669,IND,0,LIV,155,501,0.0200496010631549,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Sullivan, Andy",15326,ENG,0,EURO,156,195,0.0190718550686444,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Ryder, Sam",16715,USA,0,PGA,157,191,0.0180890068571072,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Grillo, Emiliano",12808,ARG,0,PGA,158,117,-0.01067199676523,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Sigg, Greyson",23482,USA,0,PGA,159,170,-0.0186729471045632,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Yu, Kevin",17881,TPE,0,PGA,160,71,-0.0205709928107,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Parry, John",13764,ENG,0,EURO,161,111,-0.0261683308734537,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Johnson, Zach",6986,USA,0,PGA,162,311,-0.0306001864278499,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Thorbjornsen, Michael",26649,USA,0,PGA,163,189,-0.03205223363029,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Rozner, Antoine",18770,FRA,0,EURO,164,150,-0.0367137357372239,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Docherty, Alistair",24962,USA,0,KFT,165,220,-0.0386536183661699,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Luiten, Joost",10158,NED,0,EURO,166,226,-0.0415334425447315,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Smotherman, Austin",22985,USA,0,PGA,167,274,-0.0462166049036537,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Silverman, Ben",17381,CAN,0,PGA,168,171,-0.0518788705419722,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Waring, Paul",12426,ENG,0,EURO,169,106,-0.0560350968601603,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Norlander, Henrik",11657,SWE,0,PGA,170,202,-0.0609043588859926,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Phillips, Chandler",27164,USA,0,PGA,171,158,-0.0661457105438065,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Vincent, Scott",14559,ZIM,0,ASA,172,414,-0.067178559315833,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Ferguson, Ewen",21646,SCO,0,EURO,173,141,-0.085197042394111,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Noh, Seung-Yul",11117,KOR,0,KFT,174,326,-0.0955375207478917,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Wu, Dylan",25002,USA,0,PGA,175,216,-0.0996035229568476,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Grace, Branden",11952,RSA,0,LIV,176,501,-0.0997793521957981,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Simpson, Webb",11049,USA,0,PGA,177,333,-0.107478260887365,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Ventura, Kristoffer",15651,NOR,0,KFT,178,199,-0.118787688469454,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Saddier, Adrien",14792,FRA,0,EURO,179,232,-0.123540385069552,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Fitzpatrick, Alex",25362,ENG,0,EURO,180,176,-0.125642155942328,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Campbell, Ben",14373,NZL,0,ASA,181,144,-0.130060765067824,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Kizzire, Patton",13470,USA,0,PGA,182,118,-0.141653511982255,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
"Hoshino, Rikuya",19190,JPN,0,EURO,183,156,-0.144716142744555,2025-02-03 12:31:40 UTC,anyone ranked outside top 500 in OWGR appear as 501
